"work","title"
"http://data.carnegiehall.org/works/92085","Madrigals, Book 4, SV 75–93: Anima mia, perdona a chi tè cruda, SV 80a"
"http://data.carnegiehall.org/works/106860","6 Dances from The Danserye"
"http://data.carnegiehall.org/works/2432","Ritmo jondo: Suite"
"http://data.carnegiehall.org/works/48670","Anoush: Asoum En Ourin"
"http://data.carnegiehall.org/works/63482","Seguidilla Dolorosa de una Enamorada"
"http://data.carnegiehall.org/works/72359","Huanyo Navideño"
"http://data.carnegiehall.org/works/72584","Suite in E Minor: 3. Scherzo-Finale"
"http://data.carnegiehall.org/works/92837","This Little Light of Mine"
"http://data.carnegiehall.org/works/29039","The Marriage of Figaro, K. 492: Act III. Dove sono i bei momenti"
"http://data.carnegiehall.org/works/28780","Variations on a Theme by Haydn, Op. 56a"
"http://data.carnegiehall.org/works/49741","A Northern Ballad, Op. 46"
"http://data.carnegiehall.org/works/58415","Treube Liebe"
"http://data.carnegiehall.org/works/57593","Five Images after Sappho"
"http://data.carnegiehall.org/works/72523","Black Topaz"
"http://data.carnegiehall.org/works/101515","Stephen Said"
"http://data.carnegiehall.org/works/110927","Kelülwe"
"http://data.carnegiehall.org/works/112472","6 Sonatas for Recorder and Continuo, Op. 1: Sonata No. 3 in G Minor"
"http://data.carnegiehall.org/works/8556","Aimons-nous"
"http://data.carnegiehall.org/works/14015","Jongo"
"http://data.carnegiehall.org/works/18334","Violin Sonata No. 1 in E Minor"
"http://data.carnegiehall.org/works/21750","Concerto, Op. 24"
"http://data.carnegiehall.org/works/75619","Inspiration"
"http://data.carnegiehall.org/works/86409","La fontaine"
"http://data.carnegiehall.org/works/12842","The Yankee Consul: My San Domingo"
"http://data.carnegiehall.org/works/50332","Fantasy for Piano and Orchestra"
"http://data.carnegiehall.org/works/76117","The Melody"
"http://data.carnegiehall.org/works/111423","Song (unspecified)"
"http://data.carnegiehall.org/works/8326","Gitanjali"
"http://data.carnegiehall.org/works/34327","The Wanderers"
"http://data.carnegiehall.org/works/55568","Carnival of Venice"
"http://data.carnegiehall.org/works/65500","Pins and Needles: Sunday in the Park"
"http://data.carnegiehall.org/works/68299","A Memory"
"http://data.carnegiehall.org/works/88826","The Dancing Party"
"http://data.carnegiehall.org/works/93035","Los cuajaritos (Pasaje)"
"http://data.carnegiehall.org/works/32686","The Parting of Friends (Irish)"
"http://data.carnegiehall.org/works/92614","Amazing Grace"
"http://data.carnegiehall.org/works/92584","Winter Wonderland"
"http://data.carnegiehall.org/works/109615","Beginnings"
"http://data.carnegiehall.org/works/46065","String Quintet in C Major, Op. 29"
"http://data.carnegiehall.org/works/86493","Gospel John"
"http://data.carnegiehall.org/works/92781","The Well"
"http://data.carnegiehall.org/works/103576","Aida: Act III. O cieli azzurri"
"http://data.carnegiehall.org/works/27709","Four Songs with Ensemble"
"http://data.carnegiehall.org/works/32258","Selva morale e spirituale, SV 252-288: Magnificat, SV 281"
